fecha,dim,clave,in,out,net,aum
2026-07-06,gestora,Por Decision CNV,0.00,0.00,0.00,2030772.37
2026-07-06,gestora,Bayfe S.A.S.G.F.C.I.,0.00,0.00,0.00,55481173.70
2026-07-03,bucket,Renta Variable,3628125081.93,-2042376878.09,1585748203.84,2017762767561.32
2026-07-03,gestora,BAVSA Fondos S.A.,1544194660.56,-722496464.88,821698195.67,225051731868.54
2026-07-03,tipo_ger,Independiente,998226869373.81,-325095904409.37,673130964964.44,38370195962213.84
2026-07-03,gestora,StoneX Asset Management S.A.,8280445573.48,-2395659719.77,5884785853.71,696114489538.38
2026-07-03,gestora,Mariva Asset Management S.A.U.S.G.F.C.I.,1928023655.94,-34643959080.55,-32715935424.60,413199392561.08
2026-07-03,tipo_ger,Bancaria,414152565065.54,-757232905504.42,-343080340438.87,46210125545996.67
2026-07-03,gestora,Novus Asset Management S.A.,328653686.55,-770759226.30,-442105539.75,248103497845.61
2026-07-03,gestora,SBS Asset Management S.A.S.G.F.C.I.,54063202667.63,-20112390985.71,33950811681.91,1477881446635.13
2026-07-03,gestora,Proahorro Administradora de Activos S.A.,471199038.35,-7348085534.37,-6876886496.02,1848579377608.34
2026-07-03,gestora,Provinfondos S.A.S.G.F.C.I.,15440912360.87,-315626660.92,15125285699.95,2192868660955.34
2026-07-03,gestora,Adcap Asset Management S.G.F.C.I.S.A.,107148873438.93,-26507060358.95,80641813079.98,1874190130529.31
2026-07-03,gestora,Allaria Fondos Administrados S.G.F.C.I.S.A.,39121568834.59,-58637802890.94,-19516234056.35,2365135262535.59
2026-07-03,gestora,ICBC Investments Argentina S.A.U.S.G.F.C.I.,77466378564.81,-10860401152.22,66605977412.59,2884105798324.13
2026-07-03,gestora,Argenfunds S.A.,5343262647.96,-67069214.62,5276193433.34,743115474155.55
2026-07-03,gestora,Mercofond S.G.F.C.I.S.A.,0.00,0.00,0.00,3019531204.76
2026-07-03,gestora,Balanz S.G.F.C.I.S.A.U.,168987466368.61,-25932209769.22,143055256599.40,3512219686916.75
2026-07-03,gestora,Bull Market Asset Management S.A.,9972435687.86,-34256047.11,9938179640.76,692110508708.16
2026-07-03,gestora,Bancor Fondos S.G.F.C.I.S.A.U.,1031216989.38,-21315658594.35,-20284441604.98,711145483802.54
2026-07-03,gestora,Chimpay S.A.,15846710.34,0.00,15846710.34,47268991528.40
2026-07-03,gestora,IEB S.A.,1194121041.02,-13423898085.39,-12229777044.37,556901458358.67
2026-07-03,gestora,Capital Markets Argentina Asset Management S.A.,637333.81,-156515295.67,-155877961.86,28031652033.10
2026-07-03,gestora,Cocos Asset Management S.A.,17827747420.26,-365571146.13,17462176274.12,959745885093.44
2026-07-03,gestora,Investis Asset Management S.A.S.G.F.C.I.,10920713301.11,-27385591371.59,-16464878070.49,1816980712903.22
2026-07-03,gestora,One618 Asset Management S.G.F.C.I.S.A.,20611914773.50,-3829040734.54,16782874038.96,1863914682630.94
2026-07-03,gestora,Ciudad Administradora de Activos S.A.U.,3674830281.60,-2663991821.10,1010838460.50,477729851258.58
2026-07-03,gestora,Delta Asset Management S.A.,132545982627.70,-1212816660.92,131333165966.78,2662518947923.50
2026-07-03,gestora,Dracma Asset Management S.A.,14740032.07,-52228564.62,-37488532.55,68047092391.20
2026-07-03,gestora,BBVA Asset Management Argentina S.A.U.S.G.F.C.I.,12366975848.24,-20758423367.02,-8391447518.78,4316850231218.81
2026-07-03,gestora,Galicia Asset Management S.A.U.,186558937532.42,-57559321352.19,128999616180.22,12033048521991.05
2026-07-03,gestora,Industrial Asset Management S.G.F.C.I.S.A.,5650401632.01,-6595783759.99,-945382127.98,939992349436.76
2026-07-03,gestora,Tutelar Inversora S.A.,0.00,0.00,0.00,5241214324.74
2026-07-03,gestora,Patagonia Inversora S.A.S.G.F.C.I,862903667.41,-142120717492.76,-141257813825.35,1918574615949.29
2026-07-03,gestora,Max Capital Asset Management S.A.,19949792986.40,-9589965138.64,10359827847.76,986583129742.85
2026-07-03,gestora,MEGA QM S.A.,8096943223.61,-51577156493.64,-43480213270.03,1459527365511.06
2026-07-03,gestora,SAM Argentina S.G.F.C.I.S.A.U.,0.00,-380788799.33,-380788799.33,94510171438.64
2026-07-03,gestora,Parakeet S.G.F.C.I.S.A.,5000584966.06,-133824712.56,4866760253.50,163354939285.67
2026-07-03,gestora,Pellegrini S.A.S.G.F.C.I.,8291775650.38,-99087113310.41,-90795337660.02,3549963565374.74
2026-07-03,gestora,Macro Fondos S.G.F.C.I.S.A.,21936637152.93,-10707881980.56,11228755172.37,5287320694393.89
2026-07-03,gestora,Supervielle Asset Management S.A.,10461482398.17,-16351982501.77,-5890500103.60,1184910808977.71
2026-07-03,gestora,Schroder S.A.S.G.F.C.I.,7792078914.68,-26116800660.11,-18324721745.43,2147284091381.18
2026-07-03,gestora,Santander Asset Management G.F.C.I.S.A.,68482089331.38,-334252044430.59,-265769955099.20,10300415571752.74
2026-07-03,gestora,Ualá Fondos S.A.U.,4194938180.04,-12423141242.61,-8228203062.57,204762697744.42
2026-07-03,gestora,Valiant Asset Management S.G.F.C.I.S.A.U.,25315686.62,-148780372.01,-123464685.39,76383426061.68
2026-07-03,gestora,Wise Capital Asset Management S.A.,8533917025.85,-597366061.85,7936550963.99,80174141611.44
2026-07-03,gestora,Puente Asset Management S.A.,0.00,-200158.80,-200158.80,2309445142.73
2026-07-03,gestora,First Capital Markets S.A.,2318910103.82,-11824233.03,2307085870.79,135722974679.35
2026-07-03,gestora,Cohen S.A.,0.00,0.00,0.00,9176244.65
2026-07-03,gestora,Mercado Pago Asset Managemet S.A.,346922606297.45,0.00,346922606297.45,9391787088329.05
2026-07-03,bucket,Renta Variable USD,1078632.94,0.00,1078632.94,278910655.85
2026-07-03,bucket,Renta Fija ARS T+1,107605172083.73,-20025803591.43,87579368492.30,16485975555792.68
2026-07-03,bucket,Renta Fija ARS,55563111192.47,-23040966749.78,32522144442.69,3683716627802.00
2026-07-03,gestora,Nuevo Chaco Fondos S.A.S.G.F.C.I.,2693226208.71,-19999999.54,2673226209.18,105292926774.19
2026-07-03,gestora,Cono Sur S.G.F.C.I.S.A.,2306908914.26,-1622991174.15,683917740.10,61147184625.31
2026-07-03,gestora,CMF Asset Management S.A.U.,5414209948.64,-7564384782.66,-2150174834.02,309845201790.55
2026-07-03,gestora,Nativa S.G.F.C.I.S.A.,0.00,0.00,0.00,14012489.60
2026-07-03,gestora,Grupo SS S.A.S.G.F.C.I.,69311912.28,-3064471.55,66247440.73,215495684845.35
2026-07-03,gestora,Mills Asset Management S.A.,77508804.46,-4000.00,77504804.46,46901954712.14
2026-07-03,gestora,Quiron Asset Management S.A.,15769359.35,-614762352.58,-598992993.22,27280545657.74
2026-07-03,gestora,Tandem Capital S.A.,70007.93,-5189679431.12,-5189609423.20,34612518514.53
2026-07-03,gestora,Zofingen Investment S.A.,1161506991.40,-14011655976.12,-12850148984.71,535094130533.30
2026-07-03,gestora,C y C Administradora de Fondos S.A.,7031830.24,-932142368.58,-925110538.34,58965600759.44
2026-07-03,bucket,Renta Fija USD,68762020.33,-13454001.58,55308018.76,7420248066.66
2026-07-03,gestora,Axis S.G.F.C.I.S.A.,2936598196.55,-2710019971.86,226578224.69,416821811607.33
2026-07-03,bucket,Renta Mixta,42523136139.30,-2776206782.59,39746929356.72,4624972410631.61
2026-07-03,gestora,Blacktoro Asset Management S.A.,702316584.89,0.00,702316584.89,3231767921.31
2026-07-03,gestora,GMC Asset Management S.A.U.,623267864.01,-192805348.96,430462515.05,91434434082.48
2026-07-03,bucket,Renta Mixta USD,71912325.37,-1244842.76,70667482.61,889045047.19
2026-07-03,bucket,PyMEs,5357271607.59,-740271854.83,4616999752.76,2015539890487.04
2026-07-03,bucket,PyMEs USD,0.00,0.00,0.00,0.00
2026-07-03,bucket,Infraestructura,3992965404.33,-14164051.61,3978801352.72,966603640398.02
2026-07-03,bucket,Infraestructura USD,0.00,0.00,0.00,63530549.83
2026-07-03,bucket,Retorno Total,7494640231.95,-3636358196.21,3858282035.74,1505142822047.92
2026-07-03,bucket,Retorno Total USD,455956.99,-5000.35,450956.64,449033266.12
2026-07-03,bucket,ASG,93031692.83,-7000000.01,86031692.82,22222939750.98
2026-07-03,bucket,RG900,79098897.61,-154314860.22,-75215962.61,300324582934.35
2026-07-03,bucket,Money Market ARS (T+0),1185705259165.61,-1029845595868.41,155859663297.19,52215244939562.01
2026-07-03,gestora,Tango Asset Management S.A.,991049522.23,-2301094588.93,-1310045066.70,17756567405.46
2026-07-03,bucket,Money Market USD,195414006.37,-31047235.92,164366770.46,7113770250.68
2026-07-03,bucket,Fondos Cerrados,0.00,0.00,0.00,726165797282.05
2026-07-03,gestora,Dracma S.A.,0.00,0.00,0.00,9663686642.99
2026-07-03,bucket,Fondos Cerrados USD,0.00,0.00,0.00,377371144.85
2026-07-03,bucket,Solicitud en tramite,0.00,0.00,0.00,113033.33
2026-07-03,bucket,En Proceso de Liquidacion por Pago Total,0.00,0.00,0.00,57511946.07
2026-07-03,gestora,Por Decision CNV,0.00,0.00,0.00,2030772.37
2026-07-03,gestora,Bayfe S.A.S.G.F.C.I.,0.00,0.00,0.00,55481173.70
2026-06-30,bucket,Renta Variable,6813170727.77,-5106430702.92,1706740024.85,1995415250098.31
2026-06-30,gestora,Allaria Fondos Administrados S.G.F.C.I.S.A.,97363110725.11,-17037483612.71,80325627112.41,2307095885288.37
2026-06-30,tipo_ger,Independiente,1148423857084.68,-488216171420.51,660207685664.17,36333327425183.05
2026-06-30,gestora,BAVSA Fondos S.A.,4853213857.57,-2588727196.76,2264486660.81,222762449045.08
2026-06-30,gestora,StoneX Asset Management S.A.,9931056268.27,-30849041954.43,-20917985686.16,675374528572.61
2026-06-30,gestora,Mariva Asset Management S.A.U.S.G.F.C.I.,1348460058.84,-27127624614.12,-25779164555.28,382850347709.12
2026-06-30,tipo_ger,Bancaria,1290242321431.36,-499875553503.94,790366767927.42,45898431368794.36
2026-06-30,gestora,Novus Asset Management S.A.,2621105385.95,-5235669540.75,-2614564154.80,247506360358.97
2026-06-30,gestora,SBS Asset Management S.A.S.G.F.C.I.,15807710262.20,-4367219077.34,11440491184.86,1386775495181.46
2026-06-30,gestora,Proahorro Administradora de Activos S.A.,3878038544.52,-65491968865.84,-61613930321.31,1824193216148.95
2026-06-30,gestora,Provinfondos S.A.S.G.F.C.I.,25068749900.96,-57672640.97,25011077259.99,2106703114933.90
2026-06-30,gestora,Adcap Asset Management S.G.F.C.I.S.A.,91124648019.84,-160410855648.59,-69286207628.76,1746588140878.03
2026-06-30,gestora,ICBC Investments Argentina S.A.U.S.G.F.C.I.,64611135485.07,-2251267560.43,62359867924.64,2872222987071.57
2026-06-30,gestora,Argenfunds S.A.,2142527365.64,-43435865958.67,-41293338593.03,739966214815.16
2026-06-30,gestora,Mercofond S.G.F.C.I.S.A.,0.00,-900503.58,-900503.58,3034583108.66
